feature,total_importance
STRUCTURE_LEN_MT_049,0.730229804141135
age_length_interaction,0.7302267720175146
DECK_AREA,0.716152740665403
span_efficiency,0.6730332408928563
STRUCTURE_TYPE_043B,0.6466686961790352
DECK_STRUCTURE_TYPE_107,0.6428403761893609
SURFACE_TYPE_108A,0.6316802231713704
MEMBRANE_TYPE_108B,0.6073431307563233
DECK_PROTECTION_108C,0.6032999705114486
length_category,0.5782848023187934
ROUTE_PREFIX_005B,0.5562586662291913
TRAFFIC_LANES_ON_028A,0.5171049343529894
has_modern_design_load,0.50759889853978
DESIGN_LOAD_031,0.5059842156111686
bridge_age,0.49564220122584013
YEAR_BUILT_027,0.4956422012258389
MAX_SPAN_LEN_MT_048,0.4860367806938374
DECK_WIDTH_MT_052,0.4849181526360257
ROADWAY_WIDTH_MT_051,0.4810937992962035
APPR_WIDTH_MT_032,0.47998164409359917
is_long_bridge,0.4783032858503282
STRUCTURE_KIND_043A,0.4719187944730663
age_traffic_interaction,0.4705043667480344
log_adt,0.47047237523783836
RAILINGS_036A,0.4660001612215817
ADT_029,0.4623379132268898
traffic_stress_score,0.4606107176485813
needs_frequent_inspection,0.45708947914258075
needs_very_frequent_inspection,0.45707179782286955
inspection_urgency,0.4569757858121758
FUTURE_ADT_114,0.45147481194449113
NATIONAL_NETWORK_110,0.4510091891348871
INSPECT_FREQ_MONTHS_091,0.4461588992587938
APPR_RAIL_END_036D,0.43240720152248524
APPR_RAIL_036C,0.4316017060243839
HIGHWAY_SYSTEM_104,0.4303727030396106
BASE_HWY_NETWORK_012,0.4224238626115039
deck_to_structure_ratio,0.42206424278089166
is_high_traffic,0.415573333275197
OPERATING_RATING_064,0.4099271295939064
TRANSITIONS_036B,0.40785937978573017
APPR_SPANS_046,0.3986710332844819
STRAHNET_HIGHWAY_100,0.3945265726328618
SERVICE_UND_042B,0.3910173195248321
is_very_long_bridge,0.37767742243433927
FUNCTIONAL_CLASS_026,0.37385337829674115
traffic_truck_interaction,0.3731984338595239
truck_impact,0.37319843385952367
INVENTORY_RATING_066,0.37076551999126905
RIGHT_CURB_MT_050B,0.3636930358733551
NAVIGATION_038,0.36177937364657714
LEFT_CURB_MT_050A,0.3589212032073429
MAIN_UNIT_SPANS_045,0.35818032780238457
TRAFFIC_DIRECTION_102,0.35750409374399594
PERCENT_ADT_TRUCK_109,0.3574827513098625
MEDIAN_CODE_033,0.3498892937260347
OWNER_022,0.348195817755516
MAINTENANCE_021,0.34578848161240905
LAT_UND_REF_055A,0.34204800273970004
SERVICE_ON_042A,0.3357093921281186
maintenance_burden,0.3340637634226723
VERT_CLR_UND_REF_054A,0.3338950638699562
OPEN_CLOSED_POSTED_041,0.32963753318822714
FED_AGENCY,0.3283038575620518
TRAFFIC_LANES_UND_028B,0.3281496616687393
OPR_RATING_METH_063,0.302613657712791
INV_RATING_METH_065,0.3025482048075683
YEAR_OF_IMP_097,0.29974177750972736
years_since_improvement,0.2997417775097273
HORR_CLR_MT_047,0.2990474813809538
traffic_per_lane,0.2979105461277096
HISTORY_037,0.28345598894872837
has_recent_improvement,0.27098295523590044
APPR_KIND_044A,0.2656472424351447
SCOUR_CRITICAL_113,0.24153590478555093
years_since_reconstruction,0.23655636299753083
IMP_LEN_MT_076,0.22760081086707012
KILOPOINT_011,0.22332511826074483
APPR_TYPE_044B,0.22152997300019434
deck_roadway_diff,0.21370797256869573
YEAR_ADT_030,0.2112847691341037
DETOUR_KILOS_019,0.19985717733933317
FRACTURE_092A,0.19683285005089862
VERT_CLR_UND_054B,0.19460142739698508
STRUCTURE_FLARED_035,0.18906292033531452
LAT_016,0.1863068131103451
WORK_PROPOSED_075A,0.18611538249712312
DIRECTION_005E,0.17843099301130907
SERVICE_LEVEL_005C,0.16427901144289228
VERT_CLR_OVER_MT_053,0.1569553256026064
TOLL_020,0.15031021041031928
UNDWATER_LOOK_SEE_092B,0.14822231510161077
PLACE_CODE_004,0.145339721419786
LAT_UND_MT_055B,0.13991821032890925
OTHER_STATE_CODE_098A,0.13210087368025095
OTHER_STATE_PCNT_098B,0.12940997936442095
SPEC_INSPECT_092C,0.12584256721128034
MIN_VERT_CLR_010,0.1155825718519501
SUBMITTED_BY,0.11077144090696373
NAV_VERT_CLR_MT_039,0.09855093705247733
PIER_PROTECTION_111,0.09662915530492874
DEGREES_SKEW_034,0.09428139707396634
COUNTY_CODE_003,0.09014689613878038
LEFT_LAT_UND_MT_056,0.0889267767475173
HIGHWAY_DISTRICT_002,0.0748865125776965
STATE_CODE_001,0.07458774847656328
LONG_017,0.05738511332636166
TEMP_STRUCTURE_103,0.04657973069045991
DATE_OF_INSPECT_090,0.04124264157040996
WORK_DONE_BY_075B,0.036984221823271546
FEDERAL_LANDS_105,0.03080604437262438
YEAR_OF_FUTURE_ADT_115,0.028906515743062227
is_heavy_truck,0.012021089391051284
MIN_NAV_CLR_MT_116,0.01171407158862179
PARALLEL_STRUCTURE_101,0.006817475758258038
BRIDGE_LEN_IND_112,0.0
never_improved,0.0
was_reconstructed,0.0
is_very_old,0.0
age_category,0.0
